sid	009B	012B	020B	026B	028B	035B	061B	068B	069B	072B	078B	087B	093B	100B	103B	108B	109B	126B	128B	142B
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate	598.437042119	456.211662177	1624.23984425	1331.26476821	947.406559813	47.7238212798	34.1491700395	1403.15426474	1218.77065987	2395.70305294	1023.26703204	814.797418807	547.130175913	425.223498805	684.139900894	5830.74536452	152.474479936	3574.19810222	2229.06452427	1832.94339393
Pathway|Nucleotide_and_amino_acid_metabolism|Arginine_and_proline_metabolism|Proline_biosynthesis,_glutamate_=>_proline	16338.6138422	20206.0496482	18406.8073443	17512.0980984	18540.2873384	25260.8755363	20734.680695	16987.963271	22090.8658494	17096.089677	21553.4181688	15631.1999018	20196.6960212	19983.0932347	19522.5773759	16753.4262143	18271.2267575	17164.6621702	14481.2004689	19090.5934652
Pathway|Nucleotide_and_amino_acid_metabolism|Lysine_metabolism|Lysine_biosynthesis,_succinyl-DAP_pathway,_aspartate_=>_lysine	8173.00177374	4398.42655551	5603.67612199	11612.698901	6702.82895053	8196.66500926	5494.87617255	5391.39218863	6191.65635295	10657.4302319	10435.5068294	8146.94815366	7988.16315866	9007.21277699	8897.03519443	13336.3756097	10191.251674	14016.3713428	7271.67780219	9141.04360324
Pathway|Nucleotide_and_amino_acid_metabolism|Cysteine_and_methionine_metabolism|Methionine_biosynthesis,_apartate_=>_homoserine_=>_methionine	4826.3784267	6246.25933663	5456.95745891	6449.07338514	6578.72558069	3863.96040395	1891.51108626	2296.66853281	4783.88676479	7834.11875419	6664.29321271	5339.24521769	4293.42990498	5425.45747983	4465.81467162	8746.82188952	4876.58870713	9067.10504863	4096.00149058	7519.45160489
Pathway|Nucleotide_and_amino_acid_metabolism|Serine_and_threonine_metabolism|Threonine_biosynthesis,_apartate_=>_homoserine_=>_threonine	25835.1434493	18047.8097623	17257.8673819	15707.1947397	24151.7425937	22929.912647	9394.14883263	7608.39025123	14918.790113	14119.3367441	16744.5117413	20203.6406974	11851.737135	19355.5947362	19256.9634483	21669.0412884	15099.3487466	15177.4819591	18753.9467027	13120.7786883
Pathway|Nucleotide_and_amino_acid_metabolism|Branched-chain_amino_acid_metabolism|Valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine	779.730431556	843.80600758	1877.1784538	1348.24653186	105.113171516	825.284954171	826.272340373	1895.09379108	1636.45252877	2539.8460204	290.051525946	1924.19252589	2299.91960459	1615.13688559	1640.13524712	6352.10995785	921.851679343	7870.56654567	4602.85916035	2383.63548596
Pathway|Nucleotide_and_amino_acid_metabolism|Cysteine_and_methionine_metabolism|Cysteine_biosynthesis,_serine_=>_cysteine	32583.7992783	25388.9995881	22517.7248149	21986.8378277	27857.7056268	25523.0918854	30868.5565212	26711.1566084	22127.250603	27322.7638473	26653.8590998	25412.5507887	23236.5308146	24519.0548187	24189.8945565	25188.0835754	24839.4322845	26790.0875931	27905.9551728	21264.2816967
Pathway|Nucleotide_and_amino_acid_metabolism|Aromatic_amino_acid_metabolism|Shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4P_=>_chorismate	19104.8772169	22701.0968895	17974.9705631	16444.9974078	21040.9876081	20668.995286	17179.4002386	14129.8925305	18374.3992544	20295.4524358	21625.0206585	20136.412375	16513.6615824	19304.8980266	19768.564713	18960.7128832	19899.4657282	21729.8587041	18715.8604589	16146.6093646
Pathway|Nucleotide_and_amino_acid_metabolism|Aromatic_amino_acid_metabolism|Tryptophan_biosynthesis,_chorismate_=>_tryptophan	14808.7683773	24175.8622524	17659.6757645	14748.5660088	22876.0956773	18592.6051494	23933.3819076	26375.2726956	21308.0147485	20980.6387204	17584.118002	15670.331366	22300.2747276	18296.9998554	15934.5872834	14769.7848092	17547.55098	19663.555243	20183.908808	22939.163661
Pathway|Nucleotide_and_amino_acid_metabolism|Aromatic_amino_acid_metabolism|Phenylalanine_biosynthesis,_chorismate_=>_phenylalanine	810.668063399	2680.71966583	619.28588919	495.642165782	703.133894512	577.677728837	571.786761281	907.334768356	1565.70387536	2825.32308651	755.561577547	3876.17957064	1836.36593688	1061.16378703	1946.77636203	4733.08522036	1186.59376991	6965.3474914	1851.58924097	3322.89548091
Pathway|Nucleotide_and_amino_acid_metabolism|Aromatic_amino_acid_metabolism|Tyrosine_biosynthesis,_chorismate_=>_tyrosine	1064.13601021	3423.52434257	819.190995605	662.171751985	928.902063008	767.234958816	757.078969818	1194.24847625	2040.70506498	3582.45578894	991.021894376	4691.04459492	2381.74339713	1388.37316506	2480.84278522	5717.83577118	1545.6068528	8377.96608894	2401.25307972	4139.78518503
Pathway|Nucleotide_and_amino_acid_metabolism|Histidine_metabolism|Histidine_biosynthesis,_PRPP_=>_histidine	17196.7234239	20077.4628095	16199.7288313	12706.7795255	18905.8813513	21935.2034958	11567.5935763	10841.9971377	17176.3196587	14705.7653238	14102.073133	13844.228078	13016.3010829	17678.817971	16378.7765591	15271.2924096	16169.9409749	14744.7239155	15588.5992068	11931.6015552
Pathway|Nucleotide_and_amino_acid_metabolism|Other_amino_acid_metabolism|GABA_(gamma-Aminobutyrate)_shunt	263.782219154	274.897328286	645.852132957	781.147495524	195.233874555	313.047136481	76.799247139	173.018385908	361.442263636	723.193718317	499.162738109	491.963806641	183.437495691	533.982371414	439.916719973	447.935758641	684.560142904	55.1179232805	425.73454388	353.114647183
Pathway|Nucleotide_and_amino_acid_metabolism|Arginine_and_proline_metabolism|Ornithine_biosynthesis,_glutamate_=>_ornithine	10343.1904752	16390.5708856	16083.6249982	13850.6661629	17794.0269411	15340.1694344	12683.0173179	8193.30639849	15154.3044832	16736.8618453	20265.1981843	11872.482828	15936.139189	15464.3980722	16987.1109521	12887.2279202	16936.0822137	14978.6246826	14962.9584744	12640.9303915
Pathway|Nucleotide_and_amino_acid_metabolism|Arginine_and_proline_metabolism|Urea_cycle	549.607715296	525.395426507	1320.84538066	828.395196253	1373.94964617	545.721415081	1680.90827001	1886.3948546	1030.65671367	1461.85820032	939.881508967	753.116985318	2473.99374699	1052.38221767	1311.58419493	922.757787247	1434.89483326	635.95064271	1220.6216381	314.977194511
Pathway|Nucleotide_and_amino_acid_metabolism|Cysteine_and_methionine_metabolism|Methionine_degradation	3138.10359549	1341.05193835	1382.51184871	5723.47886307	2135.40732619	1576.31945584	2829.97971346	3105.62602143	3393.77717311	5197.27449757	4343.07687147	2094.23418624	3732.60927463	2051.90396024	2099.42851745	1807.87470084	2391.32897332	2066.93193884	2316.04260558	3357.81985036
Pathway|Nucleotide_and_amino_acid_metabolism|Histidine_metabolism|Histidine_degradation,_histidine_=>_N-formiminoglutamate_=>_glutamate	5038.70227985	8633.31180264	11666.4305159	10509.6955022	4224.46639824	10427.8723618	4193.23656244	4037.98041651	17887.355181	3648.48805257	7247.43857713	8041.49506495	7513.15596716	13142.9770142	6737.09279322	5672.28558926	7046.6137486	2317.31890613	7817.86220082	13591.7910467
Pathway|Nucleotide_and_amino_acid_metabolism|Purine_metabolism|Inosine_monophosphate_biosynthesis,_PRPP_+_glutamine_=>_IMP	5217.23507865	3383.08261233	8137.03461704	17196.4496714	5727.92053899	9023.19318778	8557.82480033	11683.5927504	11961.1732226	23999.2823896	19829.7596244	7972.79702417	17692.313397	14494.1638852	11380.2725075	13192.9293827	20016.3481884	3942.45442751	10453.7825406	22848.4967394
Pathway|Nucleotide_and_amino_acid_metabolism|Purine_metabolism|Adenine_ribonucleotide_biosynthesis,_IMP_=>_ADP,ATP	13911.2400359	22097.1195724	23504.522193	19316.3203233	12314.3448743	19016.8292613	8707.00250934	14496.5232286	20214.68311	15042.2761359	11602.0572515	27965.4196985	13922.8109315	20515.1592349	18865.8822316	13581.5514495	20476.6140562	12120.7337963	15217.5049376	23543.2918284
Pathway|Nucleotide_and_amino_acid_metabolism|Purine_metabolism|Guanine_ribonucleotide_biosynthesis_IMP_=>_GDP,GTP	13515.7137537	21468.9446267	22499.4432202	18429.1034376	11994.1503136	17966.7448551	8621.92034739	14297.0316407	19814.4034028	14836.1831082	11574.1807347	27374.4432196	13740.5224463	20025.3893518	18069.9155492	13322.03463	19957.7502306	11999.6072186	15188.061402	22965.3397567
Pathway|Nucleotide_and_amino_acid_metabolism|Pyrimidine_metabolism|Uridine_monophosphate_biosynthesis,_glutamine_(+_PRPP)_=>_UMP	27089.2254419	28649.4759352	26674.9532912	25349.4013839	31443.8844318	28728.0020792	35055.5086505	32161.3478928	24778.9347946	30034.8818915	30884.353609	26586.1634343	30609.5862246	26976.4751985	28107.4259569	26014.8994751	28475.497595	29335.6767817	28989.7787514	24683.8631593
Pathway|Nucleotide_and_amino_acid_metabolism|Pyrimidine_metabolism|Pyrimidine_ribonucleotide_biosynthesis,_UMP_=>_UDP/UTP,CDP/CTP	8305.15495633	19081.6405801	20875.6979888	16155.8773882	9804.99958849	15693.3173633	6137.98655182	16588.7021424	20766.5258375	12950.8944339	8431.64538293	23094.6680657	12455.3710772	19308.8722264	16116.5986029	12298.3183132	15289.104583	12341.1567652	17811.8979342	21825.4880961
Pathway|Nucleotide_and_amino_acid_metabolism|Pyrimidine_metabolism|Pyrimidine_deoxyribonuleotide_biosynthesis,_CDP/CTP_=>_dCDP/dCTP,dTDP/dTTP	5691.00854485	2210.51467763	3700.46510709	9493.42013537	2489.26564697	2073.83321264	2513.08393772	4395.38487225	6993.47638716	8045.57472129	5348.11221688	8242.81351252	6992.07948824	3829.48962912	6666.49380428	5798.2746893	6049.07610112	5250.1654038	5441.59169646	8683.44959849
Pathway|Carbohydrate_and_lipid_metabolism|Lipopolysaccharide_metabolism|Lipopolysaccharide_biosynthesis,_KDO2-lipid_A	5617.13946758	10864.2006244	14674.0105376	10616.4988699	20170.8681398	9880.74554044	22036.4612193	24431.0213363	17627.1545743	18243.6357351	14050.7232212	14448.1945234	22426.4574786	12905.6288959	13349.728707	12581.3112677	14804.3586141	19911.8521907	19156.4324875	20203.670096
Pathway|Carbohydrate_and_lipid_metabolism|Other_carbohydrate_metabolism|Uronic_acid_metabolism	12704.7072552	14046.599736	16707.5928262	14414.5980116	23978.0409578	12664.0611239	35378.7657178	24260.6048751	17927.3700036	20748.6693006	22065.1630533	13367.556371	21429.7279348	16720.0571482	15794.3610923	15996.4930536	17540.7403456	16320.8205552	20060.7267391	21056.9312254
Pathway|Carbohydrate_and_lipid_metabolism|Lipopolysaccharide_metabolism|ADP-L-glycero-D-manno-heptose_biosynthesis	1540.00138155	1262.11686153	2865.7058191	2182.93107037	1373.61999868	597.939858995	766.326837325	1334.72477622	2637.2955079	5186.48050922	1120.58393009	5552.22899823	2372.65844099	2194.74063855	2805.57795471	7465.817095	2198.88196371	7933.57165983	2002.89340068	2930.74845034
Pathway|Carbohydrate_and_lipid_metabolism|Glycosaminoglycan_metabolism|Dermatan_sulfate_degradation	5.52248712446e-05	20.0528835221	157.352247528	50.081622072	140.930804828	130.72041565	32.6132723044	78.7438872044	339.68303228	1.63671834311e-06	5.83583777749e-05	1.60878412216	4.53512510983	84.0598551878	171.937790485	0.718176925679	0.39199243195	0.129754316077	2.62550918715e-13	2.96016060676e-09
Pathway|Carbohydrate_and_lipid_metabolism|Glycosaminoglycan_metabolism|Chondroitin_sulfate_degradation	2.2505934378	174.054732307	48.7896610743	39.8600508798	219.141055289	439.519426072	523.202829265	446.51877939	509.405225191	111.607261542	102.599573638	8.62773822389	238.741918122	319.947474686	168.090857607	30.9211896535	210.715577528	235.40027589	37.6221685233	248.951007486
Pathway|Carbohydrate_and_lipid_metabolism|Glycosaminoglycan_metabolism|Keratan_sulfate_degradation	159.391539791	292.269138015	562.675021965	554.173848367	200.432458723	377.095486596	1012.77091124	457.528884971	460.54128101	191.157261826	586.726872174	289.437837948	333.491930343	603.358588201	474.478769571	327.144320397	376.023201603	219.255755819	459.95143383	236.072221146
Pathway|Carbohydrate_and_lipid_metabolism|Fatty_acid_metabolism|Fatty_acid_biosynthesis,_elongation	21409.3499414	29784.8235327	25692.5207679	20488.630822	31201.2052219	27980.8069736	39081.2409892	45210.3471231	26290.2990969	26657.1331306	25727.6062175	20497.1679835	32751.8149903	27184.4349536	24788.9470827	24809.38185	29198.1419978	32511.714503	29442.3523246	25574.7733866
Pathway|Carbohydrate_and_lipid_metabolism|Fatty_acid_metabolism|beta-Oxidation	173.326941442	3.92174943407	88.2809669054	23.0112156232	94.4143042201	23.9068218766	26.8173630654	55.7582027619	0.895976435877	39.835544324	83.4783654484	10.4944114783	0.346131664508	49.9373884512	15.582883553	57.4193297854	1.3492829484	0.167828121282	275.163229386	5.00724084801
Pathway|Carbohydrate_and_lipid_metabolism|Fatty_acid_metabolism|Ketone_body_biosynthesis,_acetyl-CoA_=>_acetoacetate/3-hydroxybutyrate/acetone	25.1919442231	150.513104708	228.397563456	331.313003464	127.794123783	239.97313979	32.73346098	134.624580062	36.2039660551	294.57367231	0.709536048825	379.939127927	0.289065079088	26.0620707047	48.0933884052	268.291703614	519.707864639	0.13502397511	2.70989289434e-13	283.788522546
Pathway|Carbohydrate_and_lipid_metabolism|Terpenoid_backbone_biosynthesis|C5_isoprenoid_biosynthesis,_non-mevalonate_pathway	5757.52319257	4498.47465647	3775.63925672	6086.66953039	1909.28649261	2213.24504129	1318.67232125	3415.96290321	4102.52608903	7960.86791192	2926.51047604	11092.9352963	1119.77050852	2321.34646326	3369.62489967	4525.63030582	8898.95729302	1456.92091294	3746.14934217	6777.61679835
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|NAD_biosynthesis,_aspartate_=>_NAD	16884.7853603	26089.2763151	20726.0004513	19429.3863211	26392.4694263	22705.0596482	34619.4020289	32238.9696935	23514.3619427	25817.9842665	24661.5753661	19778.9718812	30369.3553771	22262.9380481	22398.1731135	22028.6928545	26022.7238434	27328.6535987	24936.9713478	22369.776041
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Menaquinone_biosynthesis,_chorismate_=>_menaquinone	90.9065214025	11.5388673591	694.159259728	383.05202619	347.274208474	166.374006176	191.31155132	362.386228961	1.78354852301	2.21825282821e-05	0.000241265665411	18.3847556912	4.43271396456	154.403724798	251.128863626	0.000250942617904	4.78148939739	1.09321789687	3.65965186316e-12	4.53823547665e-08
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Glutathione_biosynthesis,_glutamate_=>_glutathione	15.2175626877	0.534089898816	0.848985805138	60.4849345211	1.5504780014	28.6629643037	27.0714089872	124.470713793	0.197270858681	223.192888877	183.671353435	1.06209195388	0.262233663863	0.0715893133542	0.0592575414638	34.2668822223	9.57453638455	0.0622945446872	336.513322311	163.871038849
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Pantothenate_biosynthesis,_valine/L-aspartate_=>_pantothenate	10021.4026027	20901.6650558	20081.5265871	16177.5449444	16910.5255407	15361.623296	12511.2579415	8371.96766682	20824.2897097	12034.4316113	17340.5696043	11703.651793	16101.6525637	17934.0003486	16653.9588647	12262.7633131	12697.2445387	6914.37797717	10823.6064211	17691.4067528
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Coenzyme_A_biosynthesis,_pantothenate_=>_CoA	16397.922491	21777.2473995	18166.8497591	17582.8720362	17825.0357745	22337.0410029	20751.9745416	18576.6748616	21252.871715	17726.0725952	16313.2275643	17008.2892388	19892.7003379	19498.7102324	16615.3117369	13454.1781469	15877.4650548	17800.9956277	18669.2216921	20725.2975982
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Heme_biosynthesis,_glutamate_=>_protoheme/siroheme	511.658915403	3485.70611843	250.617608196	1226.50131868	515.72816938	1083.62727568	325.236885076	1120.37356302	891.634801801	1579.37903591	519.610467507	1098.94504642	1829.29058319	878.383889604	1888.31322649	1923.88244343	1561.26134308	490.073154684	1693.90375345	2458.88191206
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Cobalamin_biosynthesis,_cobinamide_=>_cobalamin	186.99910788	9.50883211482	609.776596607	341.677336603	574.420126408	240.257323814	159.726794634	529.282942868	1.56254531611	1.74853660636e-05	0.000199312768386	17.5696728126	4.01740550054	149.808732874	251.433526024	0.000196466632743	4.10030714781	1.43876189685	3.12994177459e-12	3.59013648021e-08
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Biotin_biosynthesis,_pimeloyl-CoA_=>_biotin	4672.13236621	12354.1079553	15600.0810938	12235.6536589	8674.618828	11367.4651131	4686.82386586	4757.2589422	18325.4229617	6647.75300804	8014.02457899	10496.4342994	9244.3000939	13823.2842404	14736.0461071	9657.85872463	7738.0002719	10477.3777234	5022.16569491	15143.922962
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Pyridoxal_biosynthesis,_erythrose-4P_=>_pyridoxal-5P	837.353794585	4962.5482829	10361.7514309	7895.83247838	1985.43098807	5002.39693928	1501.61415438	1833.6232538	12292.380622	1877.08090879	2641.21037965	2829.73275417	4436.50749575	10479.6201357	4568.77005623	4892.57494344	3211.58813808	3102.8509145	2532.17600062	1592.0458788
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Riboflavin_biosynthesis,_GTP_=>_riboflavin/FMN/FAD	22901.3383053	20225.0602426	21946.7728468	19337.1022905	26778.3709699	20602.7471941	33816.7081807	35170.4863123	23754.3559023	27493.5521701	23043.8126901	21175.0830475	31663.2165444	19456.5848179	21999.2490053	20907.2450905	24920.4904567	28932.5359212	26361.7712044	26070.1351992
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Tetrahydrofolate_biosynthesis,_GTP_=>_THF	7008.28843486	15034.7639463	17353.8448341	15394.3981696	11941.0675844	12806.6711458	9504.03873797	9409.36810022	19491.6427349	11804.0242313	11981.5248088	10968.6773264	14065.8436533	17149.2050188	13607.4836256	12298.1119872	12397.4375941	13612.7807058	12766.5225367	19103.0060397
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|Thiamine_biosynthesis,_AIR_=>_thiamine-P/thiamine-2P	14530.1987265	12939.9753888	10583.7495877	11755.8662724	10542.6196973	16179.9469738	20954.8975557	19728.6088747	14758.4869776	17418.0883805	13819.8930778	12147.6999198	17131.8194121	13006.4263115	15461.7144696	12393.1773196	19169.2239943	15493.1552153	15485.451536	10555.4807478
Pathway|Nucleotide_and_amino_acid_metabolism|Polyamine_biosynthesis|Polyamine_biosynthesis,_arginine_=>_agmatine_=>_putrescine_=>_spermidine	4301.79386365	3154.69948221	4955.44945283	3422.97691214	1880.38572124	12189.3485078	3184.22720228	1475.95466607	2785.03133452	3310.17677149	5021.3162239	5304.01257808	1357.40931821	3387.26578056	4294.59056685	4673.00515499	2635.94615316	4802.40936607	1407.98903786	2856.55329363
Pathway|Nucleotide_and_amino_acid_metabolism|Cofactor_and_vitamin_biosynthesis|C1-unit_interconversion,_eukaryotes	653.505387615	239.72587809	310.197926347	686.259188535	317.143627588	476.87007529	222.695090334	135.643618621	210.768573516	282.794507629	306.807225548	731.983223991	248.890753989	426.553569056	473.215996654	472.922191791	308.071320576	292.478111559	679.726427612	162.030425105
Structural|Energy_metabolism|ATP_synthesis|NADH:quinone_oxidoreductase,_prokaryotes	1731.27354918	1645.0408877	7698.88074903	5390.12786225	5626.13677632	2354.53311932	9482.39092824	4178.56016021	3662.56867126	4164.97331557	6206.93551696	3995.85747639	7376.45047181	5088.20719365	6207.3939015	4644.75061745	6355.20455528	4767.25007568	6866.68423598	2229.04245181
Structural|Energy_metabolism|ATP_synthesis|Succinate_dehydrogenase,_prokaryotes	11487.0733322	12601.2473661	19576.4906177	16788.3830111	32610.2738966	13058.1058816	38493.6657663	58655.6791749	19866.8233201	29841.6901164	24293.6753358	17090.4258694	35937.5757337	17273.1685845	19886.5231112	17690.8180384	26388.6719581	32742.9645096	33968.2595175	24257.7744622
Structural|Energy_metabolism|ATP_synthesis|Fumarate_reductase,_prokaryotes	15.4409752799	163.562154174	117.588692908	334.660691983	204.518539666	0.628032065507	26.037537006	177.385595606	251.999310418	705.087202832	270.507159781	440.181525821	179.885112826	148.343177998	34.4443919308	2096.43209412	152.760770972	1149.6663206	486.650944513	649.413403344
Structural|Energy_metabolism|ATP_synthesis|F-type_ATPase,_bacteria	24828.3332551	18882.9340277	18490.6478317	18702.4407483	24234.7334552	29105.3009432	24848.2255608	23518.4024091	23179.3811641	21595.6867213	20966.3060765	20681.4353042	22491.8220908	20161.6437931	20150.1000388	21699.3876934	21891.459587	22069.2303789	22986.2550931	22269.0961814
Structural|Energy_metabolism|ATP_synthesis|V-type_ATPase,_prokaryotes	2120.01370567	12860.0195753	5479.40148904	6728.65726251	5197.4797802	10636.7910505	2320.33663108	1899.91399413	6289.43605479	4394.19284716	6612.56652363	4057.48795241	1970.49024923	5527.83604515	6591.74597871	3576.47328085	3998.55024024	276.225529526	2584.78089342	4850.89161702
Structural|Energy_metabolism|Photosynthesis|ATP_synthase	24828.3332551	18882.9340277	18490.6478317	18702.4407483	24234.7334552	29105.3009432	24848.2255608	23518.4024091	23179.3811641	21595.6867213	20966.3060765	20681.4353042	22491.8220908	20161.6437931	20150.1000388	21699.3876934	21891.459587	22069.2303789	22986.2550931	22269.0961814
Pathway|Energy_metabolism|Carbon_fixation|CAM_(Crassulacean_acid_metabolism),_dark	1003.85550693	242.219871483	490.648183836	4329.48357082	609.248723187	819.853766524	675.181045012	733.331376969	2998.23048092	4964.8105616	4484.04199278	1408.01235714	2215.94006935	525.020862642	829.279292874	1937.43057021	2886.02892605	115.925226554	1226.0717066	4964.9000938
Pathway|Energy_metabolism|Carbon_fixation|C4-dicarboxylic_acid_cycle,_phosphoenolpyruvate_carboxykinase_type	1552.82979845	361.888433809	731.698141678	5962.42940606	910.12632439	1211.57708315	1008.68850132	1096.25194212	4215.90440399	7034.72628731	6483.67445407	2102.87261842	3254.85969723	778.805136229	1235.74341149	4964.92799548	4211.41659015	5093.97123958	1821.98704307	6776.55024461
Pathway|Energy_metabolism|Carbon_fixation|C4-dicarboxylic_acid_cycle,_NADP+_-malic_enzyme_type	1027.87115045	242.843679746	491.870034443	4418.59117788	611.216967244	823.168872903	676.71496713	733.002227066	2998.90556835	5049.12915868	4606.0375073	1427.10440702	2224.20820915	525.854609087	835.081683022	1971.23173266	2925.42165358	115.966004724	1230.49913244	4993.55347855
Pathway|Energy_metabolism|Carbon_fixation|Reductive_citric_acid_cycle_(Arnon-Buchanan_cycle)	0.249109759082	12.1974619107	655.96271708	384.109081315	521.458794817	57.5693501023	45.1845834555	606.892776163	1.37588834663	0.559610422179	168.904782451	22.7433117792	1.09404537733e-06	3.05325454782	248.883694187	1.48545479514	6.78350065922e-08	2.29322930005	1132.66644608	12.2566173642
Pathway|Energy_metabolism|Nitrogen_metabolism|Nitrogen_fixation,_nitrogen_=>_ammonia	1544.82285704	809.879382085	2295.14882644	1484.35913433	2219.63539421	7032.94435264	1543.01572235	505.53728308	1653.53292393	829.197706915	2466.72208218	6107.79215434	863.651064504	847.699964656	1743.16518136	1717.5947504	1159.1300862	799.54782149	1982.88692893	1138.80544517
