id	length
95.08	61
94.87	39
95.08	61
93.44	61
92.45	53
95.45	44
94.87	39
97.14	35
93.44	61
97.14	35
94.83	58
95.45	44
94.87	39
94.87	39
90.91	66
97.56	41
97.44	39
97.14	35
93.10	58
97.22	36
97.92	48
94.87	39
94.87	39
97.14	35
97.14	35
87.50	72
95.00	40
92.59	54
95.12	41
97.14	35
95.12	41
91.11	45
92.86	42
97.14	35
97.14	35
97.14	35
97.22	36
97.22	36
97.14	35
97.14	35
97.14	35
97.14	35
78.99	1104
87.50	96
95.45	66
80.75	239
72.75	1666
72.92	927
81.36	118
81.93	238
75.26	2639
81.97	987
97.93	4345
96.49	4075
98.92	2589
72.50	1320
96.61	59
92.59	54
95.16	62
98.08	52
90.48	42
94.92	59
94.92	59
98.08	52
96.30	54
91.80	61
87.88	66
85.94	64
80.89	157
89.74	78
71.47	978
98.40	12600
98.00	9034
96.08	1532
98.78	409
93.33	45
91.67	48
78.03	1479
73.78	1655
72.11	1814
80.30	269
75.01	2709
79.01	505
73.26	1036
80.73	441
87.11	194
93.62	47
93.62	47
80.20	1015
98.42	10494
98.39	2176
96.11	2597
97.57	988
91.79	280
97.67	43
80.41	148
70.91	1131
80.00	370
85.47	117
72.43	1476
79.58	240
74.40	992
75.24	1046
75.77	1201
72.37	503
86.25	80
95.74	47
98.34	7054
98.46	5396
94.66	3593
98.21	1848
95.65	69
98.73	945
94.59	37
82.71	1174
78.38	407
90.19	265
98.65	74
93.02	86
94.52	73
94.00	50
98.55	69
95.00	60
97.18	71
94.12	51
95.52	67
92.54	67
96.36	55
94.12	51
85.00	80
76.81	138
73.53	1715
77.29	295
79.25	106
74.77	650
78.96	556
76.81	263
97.34	21979
91.67	72
96.70	2180
96.53	1586
98.25	1373
85.30	619
94.32	176
87.27	165
98.63	73
98.55	16954
97.90	3860
97.67	814
93.33	45
96.55	87
98.75	80
97.22	36
88.73	71
100.00	41
100.00	29
95.45	44
81.11	90
97.37	38
93.18	44
100.00	29
100.00	35
89.04	73
94.35	124
93.33	45
100.00	36
90.20	51
91.84	49
93.33	45
100.00	34
100.00	31
100.00	28
98.06	8537
94.46	9146
97.49	3352
100.00	28
94.04	1946
92.83	1032
91.20	125
78.35	2249
83.64	1369
82.65	732
82.72	405
76.54	324
95.06	81
86.05	86
81.41	199
79.64	221
84.33	134
83.45	139
84.62	104
83.19	113
87.65	81
86.67	75
74.59	1649
86.67	120
100.00	28
89.04	73
76.03	267
91.49	47
94.87	78
94.87	78
97.93	2943
99.57	936
98.41	691
99.08	437
92.73	110
76.18	1255
78.95	95
100.00	29
97.06	34
80.06	1003
97.44	39
100.00	28
73.29	644
76.51	447
72.36	474
100.00	28
77.88	434
97.70	4527
97.59	3530
97.03	3370
96.26	428
98.72	78
100.00	89
95.83	48
95.83	48
92.31	39
96.73	10040
92.78	3917
97.17	1380
97.32	298
95.74	94
72.87	1799
94.00	50
72.27	1410
94.32	88
97.97	7479
97.07	4811
98.46	2533
97.96	2060
96.21	2111
99.63	267
78.95	95
73.14	1746
91.74	1187
74.50	3345
84.58	1193
86.37	1064
88.72	780
76.18	571
97.67	43
95.65	46
97.56	41
100.00	37
100.00	34
97.92	9124
91.15	452
96.63	326
96.69	121
86.67	120
93.42	76
88.24	85
92.00	75
93.94	66
96.27	8281
97.60	1500
98.31	1184
88.68	53
96.88	32
100.00	28
100.00	28
80.85	94
94.29	35
100.00	28
97.11	4603
98.55	2762
85.00	100
82.84	3351
79.43	1750
82.54	1363
76.46	1134
77.18	815
93.10	203
95.35	43
97.44	39
97.22	11210
98.03	6972
93.91	230
84.40	141
83.67	147
82.99	147
82.07	145
82.58	132
95.45	44
100.00	37
81.36	118
93.10	58
91.07	56
97.06	34
100.00	31
78.17	142
100.00	29
98.07	11849
97.27	2492
95.85	1613
98.73	1104
92.89	1167
98.39	62
84.29	70
100.00	31
93.88	49
92.45	53
95.65	46
100.00	31
97.56	41
97.50	40
93.18	44
100.00	28
96.88	32
77.64	1288
76.96	382
76.80	375
97.61	7153
96.95	1343
95.71	956
97.67	343
99.03	206
93.46	153
94.33	141
89.24	353
94.55	55
100.00	30
100.00	30
94.93	1537
96.67	962
97.93	774
98.01	351
85.95	121
90.12	81
96.08	51
98.86	440
95.63	389
92.92	113
94.12	102
95.92	49
86.57	67
92.00	50
81.55	206
92.00	50
74.08	733
75.46	823
85.92	213
91.80	61
92.73	55
87.01	77
94.44	54
94.44	54
94.44	54
94.44	54
94.44	54
84.98	466
93.29	313
86.94	222
85.12	215
81.33	225
90.29	103
73.08	1616
97.40	77
94.43	4127
89.14	764
87.88	66
77.96	2055
80.23	2989
80.33	2166
87.29	1235
85.97	784
85.71	84
77.25	1187
71.97	1188
89.47	57
77.98	4155
83.33	72
98.27	3238
96.77	3156
98.76	2739
98.78	2716
96.28	2231
98.63	1389
97.99	798
76.72	743
92.86	70
98.44	6558
98.98	1475
94.12	102
98.32	4812
95.00	660
99.27	3303
93.04	718
96.20	79
95.36	647
96.22	185
97.53	81
97.53	81
94.03	67
98.00	50
85.88	85
96.08	51
90.20	51
73.91	1518
76.81	2514
78.76	1210
74.33	522
74.73	1025
72.19	1478
97.43	9689
83.35	6170
95.35	43
97.46	7588
97.41	3897
91.67	72
86.30	146
97.06	34
96.97	33
97.14	35
96.60	16169
82.73	2554
97.89	5261
93.77	3211
98.48	2035
91.23	1516
98.29	879
97.22	827
94.18	910
96.15	441
95.67	254
100.00	135
95.52	67
100.00	30
100.00	28
72.80	956
84.42	154
80.10	201
95.95	74
96.00	75
80.51	903
91.25	80
81.54	130
85.71	91
74.49	443
98.43	1464
95.26	928
96.86	574
97.79	226
95.00	40
83.48	339
97.62	84
100.00	76
95.35	43
95.24	42
80.45	2297
91.95	87
81.31	1477
81.98	111
98.75	7984
98.71	5810
98.10	840
98.55	484
96.98	7985
98.01	1354
85.01	487
98.08	52
92.73	55
96.97	33
94.16	445
82.59	1367
97.50	40
100.00	28
77.69	121
94.44	36
75.22	1348
97.48	2737
98.35	967
94.51	328
73.13	469
96.34	82
96.30	81
97.40	77
96.25	80
98.60	12500
98.65	2299
94.34	53
98.53	68
95.29	6813
98.04	6177
97.67	1161
92.45	477
100.00	29
70.24	783
97.48	4331
92.91	127
72.04	744
81.24	2463
76.62	2352
89.09	275
75.87	543
94.67	75
87.10	62
96.00	75
95.95	74
95.95	74
95.95	74
76.40	267
71.08	1307
76.32	473
94.29	35
95.79	14169
95.45	44
78.15	1570
80.73	301
84.64	1022
78.19	1444
78.85	1201
75.97	1086
87.53	385
84.63	410
82.89	3484
84.93	471
75.22	1029
85.83	1348
85.95	605
97.42	3528
96.72	2347
96.60	853
100.00	54
76.59	1512
73.05	998
98.10	13750
98.69	9533
96.97	1914
99.15	825
97.66	813
98.64	367
99.39	165
93.33	45
98.75	80
97.22	36
100.00	41
100.00	29
95.45	44
81.11	90
97.37	38
93.18	44
100.00	29
91.03	78
98.62	12983
98.28	583
100.00	31
76.19	420
76.76	3618
81.57	1107
79.98	814
81.58	467
100.00	49
97.92	48
76.17	193
90.34	4274
98.51	2960
98.48	1640
76.82	1264
97.47	277
86.84	190
89.86	138
88.76	89
93.33	45
81.40	457
75.33	458
90.91	77
69.40	866
98.20	11647
98.65	1403
98.27	173
84.85	1518
86.95	812
79.12	1298
80.49	774
73.41	1162
83.64	1039
80.13	795
76.27	729
90.80	261
85.00	80
97.37	38
97.39	13150
91.07	56
79.70	3473
80.19	2913
75.69	1456
79.17	821
77.43	607
75.98	179
76.95	334
94.92	59
94.92	59
94.87	39
97.14	35
97.14	35
95.73	726
100.00	46
100.00	45
97.81	6269
98.34	3380
97.04	1624
98.64	1099
97.08	137
95.38	65
76.41	1416
84.26	108
91.71	5570
95.25	1831
81.66	1423
89.09	440
93.51	339
91.04	346
85.56	810
96.83	379
91.11	461
83.70	552
97.44	6916
92.86	154
71.87	2474
84.35	115
94.74	57
75.73	1343
71.63	571
75.38	195
90.14	142
95.27	3576
96.27	563
77.81	1185
83.62	458
76.81	5502
80.02	2983
86.05	889
73.40	2368
96.43	336
92.86	140
97.59	166
95.38	130
91.03	78
94.29	70
94.29	70
94.29	70
92.86	70
92.86	70
94.29	70
95.92	49
95.52	67
92.86	70
92.86	70
93.10	58
95.24	63
97.78	45
98.00	50
81.61	87
75.82	3127
81.69	1256
86.33	556
94.67	75
71.45	767
89.53	86
97.65	4594
96.58	4235
97.37	2776
96.61	679
93.33	105
98.78	82
100.00	78
81.73	892
86.61	112
86.49	111
84.47	103
95.33	4559
96.38	3948
95.24	42
92.86	42
92.31	52
95.24	42
92.31	52
90.38	52
97.62	42
90.57	53
90.38	52
95.00	40
100.00	31
100.00	31
100.00	31
92.68	41
100.00	28
100.00	30
100.00	30
88.57	105
93.33	75
96.15	52
73.69	517
98.68	76
97.92	8983
98.39	2424
98.45	6334
98.66	3211
98.23	1808
90.62	64
88.38	439
91.93	161
98.46	3374
95.13	944
96.46	734
95.92	612
95.31	320
97.93	145
94.77	1147
97.70	740
96.72	610
94.96	635
97.40	423
96.90	258
97.93	145
95.35	43
96.80	3192
98.15	1782
95.16	1136
89.42	463
88.41	138
96.66	629
85.51	214
84.86	218
85.24	210
84.83	211
83.02	212
94.12	51
100.00	32
100.00	30
83.63	226
87.38	103
90.20	51
90.00	50
90.00	50
97.30	37
89.80	49
88.24	51
97.41	4479
98.32	2265
96.89	964
97.05	679
98.81	84
100.00	42
86.11	72
97.49	7372
98.12	1753
88.18	110
80.60	134
84.96	472
76.90	1831
80.72	586
73.93	1001
69.62	2008
75.68	292
75.00	1016
98.09	5076
96.92	1783
98.13	1227
97.19	1245
97.15	841
98.87	443
74.56	684
83.51	2256
74.46	1257
80.94	404
78.42	431
87.50	56
96.37	5036
97.12	2150
98.39	1307
93.39	227
97.37	38
100.00	30
93.70	127
88.17	93
88.04	92
83.15	89
83.15	89
82.02	89
88.66	97
88.17	93
88.17	93
88.04	92
88.04	92
86.32	95
82.02	89
89.36	94
89.25	93
88.17	93
83.52	91
83.15	89
87.76	98
89.01	91
83.15	89
82.42	91
87.88	99
87.63	97
87.37	95
86.60	97
85.00	100
87.00	100
88.17	93
86.60	97
86.02	93
87.76	98
87.91	91
83.52	91
86.60	97
86.96	92
85.87	92
86.02	93
80.90	89
85.11	94
85.11	94
84.69	98
84.04	94
84.00	75
98.11	106
96.93	618
96.30	81
90.77	65
96.15	52
100.00	36
94.23	52
100.00	36
97.98	445
95.11	368
87.80	369
95.05	101
77.27	286
87.27	110
74.74	289
88.55	131
87.63	97
84.91	106
78.35	1552
81.77	1695
96.92	2728
97.19	2531
97.79	2222
83.33	66
98.64	1254
91.76	85
88.89	81
87.18	78
88.16	76
88.16	76
87.18	78
84.27	89
79.85	273
94.94	9621
97.54	407
100.00	66
92.31	117
100.00	30
97.66	10572
80.25	162
74.46	415
97.09	309
97.38	305
92.68	82
88.52	244
94.94	158
86.53	245
75.46	974
74.61	1103
80.57	422
98.66	1790
97.48	119
85.88	85
75.27	744
98.06	2993
97.94	2717
98.93	1773
97.35	1998
97.56	41
94.44	36
95.47	486
94.16	154
88.71	124
85.47	1101
95.35	43
77.84	767
83.89	422
79.78	539
71.43	581
97.45	863
96.30	81
96.30	81
96.30	81
96.30	81
96.30	81
96.30	81
96.10	77
97.42	7259
98.31	1481
96.06	812
96.06	431
97.94	194
90.38	104
97.44	78
96.10	77
89.36	94
93.42	76
92.50	80
92.11	76
92.75	69
97.39	7659
99.02	2547
86.05	2064
83.52	2009
82.03	2009
82.53	269
100.00	31
100.00	30
96.00	1698
97.19	784
97.90	143
75.85	294
98.54	4847
98.46	2660
95.75	2468
83.72	129
93.15	219
92.96	213
85.14	1218
78.41	931
77.03	753
76.39	288
71.77	496
81.80	1286
92.98	57
71.40	1084
76.17	298
95.88	6580
96.12	2551
84.88	86
94.44	54
85.29	68
75.68	2434
76.14	918
92.00	50
93.62	47
91.49	47
84.40	763
81.50	400
78.61	1220
97.40	77
82.47	576
97.77	9815
96.94	2258
98.58	2111
95.85	2267
98.56	1324
98.05	1279
86.87	198
97.73	44
100.00	34
100.00	32
100.00	29
82.35	221
97.87	47
97.62	42
97.77	9815
91.51	106
80.87	183
80.87	183
86.79	530
90.41	73
90.38	104
95.00	80
95.12	82
97.33	75
93.67	79
92.21	77
93.90	82
92.21	77
87.34	79
92.59	81
89.13	92
92.31	78
95.45	66
92.11	76
91.94	62
93.29	3935
97.78	944
76.74	1264
97.04	270
90.06	312
89.86	138
90.51	295
94.14	1212
91.79	280
76.84	2474
77.18	355
97.78	9664
81.88	138
77.27	132
100.00	35
98.73	79
98.73	79
100.00	74
84.67	137
77.86	140
79.69	128
97.39	8620
95.48	974
98.42	190
89.99	2397
82.62	2250
86.10	1338
85.24	481
80.42	1869
93.02	43
85.88	85
85.16	1280
86.99	861
78.97	1298
87.13	513
80.46	742
91.88	3056
97.55	735
90.62	64
97.02	302
84.30	223
97.10	69
72.79	779
100.00	60
100.00	60
100.00	60
92.50	80
92.50	80
80.72	586
73.93	1001
69.62	2008
75.68	292
71.81	1121
95.48	641
94.44	90
94.94	79
72.68	1508
75.85	2215
86.13	685
89.17	508
97.42	6779
94.42	842
94.22	588
95.99	847
95.49	776
91.82	428
96.87	319
97.96	49
78.58	551
73.93	1005
97.39	4643
97.86	2939
98.27	867
98.30	588
98.17	109
84.52	168
87.63	97
87.63	97
87.63	97
96.97	33
95.35	43
77.96	245
87.18	78
92.16	51
82.87	181
97.05	4233
99.13	115
100.00	36
100.00	34
100.00	32
100.00	33
96.97	33
98.40	9208
75.50	555
79.37	1847
85.99	628
73.63	565
89.36	94
91.67	108
95.35	43
98.46	5396
94.67	3618
98.73	945
79.54	919
79.91	443
75.09	835
76.28	919
80.33	422
75.24	1046
93.62	47
93.62	47
89.58	48
95.96	3142
96.73	949
97.80	635
92.91	282
89.74	78
90.54	74
88.00	75
92.59	54
97.44	39
89.83	295
96.58	117
92.52	107
85.05	107
89.47	76
87.88	66
93.06	72
91.89	74
90.54	74
87.21	86
87.88	66
98.18	55
87.06	85
89.19	74
88.73	71
90.62	64
86.67	75
92.31	52
85.53	76
90.48	42
76.50	383
98.01	4881
76.61	5635
75.66	1746
100.00	35
91.49	47
98.41	8486
97.92	144
95.74	4674
76.72	189
78.19	188
97.20	5823
95.74	47
85.14	323
98.47	4574
97.41	3094
99.30	142
96.30	54
99.35	153
94.71	170
94.77	153
93.55	124
96.30	81
89.29	84
93.75	64
92.59	54
93.01	143
92.31	143
96.15	78
70.98	1344
90.13	638
77.88	330
74.65	1491
87.80	82
78.92	223
88.46	338
87.42	318
94.25	87
76.33	900
91.57	83
85.58	104
95.45	44
94.87	39
99.19	2824
99.53	2351
98.68	1816
99.18	1091
100.00	225
77.34	587
80.53	601
88.89	81
86.99	292
71.95	549
69.19	1522
96.26	5208
96.35	2163
100.00	29
100.00	29
100.00	29
82.65	4530
80.57	2785
100.00	77
100.00	76
97.64	1607
83.24	525
95.24	126
74.19	992
97.19	5723
92.75	138
91.37	139
100.00	38
100.00	38
90.00	170
91.37	139
90.51	137
87.67	73
100.00	38
91.28	149
88.54	157
92.00	75
100.00	39
100.00	38
97.30	37
92.81	139
92.09	139
91.37	139
89.83	118
90.65	107
81.87	182
100.00	38
100.00	37
92.75	138
92.09	139
91.37	139
100.00	30
91.16	147
91.89	111
88.06	134
100.00	38
100.00	38
100.00	31
92.09	139
91.37	139
91.37	139
92.59	54
91.30	138
97.67	43
93.60	125
90.65	139
92.91	127
90.65	139
100.00	38
100.00	38
91.67	132
90.74	54
97.62	42
92.79	111
100.00	41
100.00	28
83.19	119
94.24	243
97.64	127
90.91	77
82.47	867
71.44	900
78.58	1550
83.06	183
98.70	77
86.67	90
94.44	72
85.74	540
70.22	1068
76.92	416
98.44	4730
71.61	715
97.74	7753
97.68	475
87.19	203
85.96	1068
87.71	545
92.86	70
94.12	51
77.92	1377
74.81	798
100.00	42
70.65	1707
77.12	271
74.04	574
98.48	462
95.80	286
92.56	309
92.91	141
95.83	48
78.74	1609
94.83	58
93.10	58
93.10	58
93.10	58
91.38	58
93.10	58
93.10	58
93.10	58
93.10	58
93.10	58
93.10	58
94.55	55
93.10	58
96.08	51
97.52	726
97.15	562
99.03	308
92.98	57
80.34	234
82.13	929
97.73	44
98.34	3987
97.71	2056
97.34	1914
89.86	69
89.86	69
98.24	7964
96.06	406
95.65	69
81.33	375
92.86	42
74.86	728
98.49	4181
96.20	1948
98.05	1589
98.39	186
100.00	36
98.09	7918
74.74	194
71.32	959
77.96	1198
79.25	106
87.97	590
91.80	61
100.00	37
97.44	39
91.11	45
100.00	29
100.00	29
100.00	29
100.00	28
74.85	859
98.18	548
87.55	474
78.49	939
78.89	488
82.03	551
93.27	208
78.98	295
88.04	92
80.68	176
81.88	3058
78.84	1763
86.68	428
84.77	407
89.57	115
100.00	74
91.18	68
83.08	65
78.74	174
87.01	77
83.75	80
86.79	265
79.12	273
97.70	7689
98.49	1585
73.11	1298
98.36	7632
100.00	31
96.03	478
84.65	202
87.16	109
85.32	109
83.96	106
82.24	107
80.18	111
78.85	104
78.30	106
78.15	119
90.20	51
86.59	2878
82.64	956
78.72	2345
84.29	770
89.70	767
86.94	337
81.45	954
83.16	689
75.22	339
88.31	77
85.00	80
92.11	76
74.82	687
79.36	218
95.34	1138
98.21	168
88.80	250
98.07	3932
98.07	2951
92.71	247
77.61	585
79.62	417
94.02	2708
90.35	114
98.31	59
95.00	60
74.93	1105
76.71	919
83.40	265
80.27	1277
78.13	439
91.23	57
85.71	70
85.51	214
76.62	941
98.72	78
94.34	53
76.24	404
96.32	4567
98.26	975
98.60	644
97.61	544
97.65	510
100.00	31
97.67	43
100.00	30
100.00	28
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	29
100.00	28
100.00	28
95.77	6336
86.28	3339
91.22	1504
99.45	181
98.04	5199
97.72	1098
98.03	559
98.92	370
77.73	1486
82.68	641
88.89	90
96.22	2409
92.16	306
80.68	88
94.63	1210
95.56	315
91.00	311
93.48	184
96.67	60
79.75	726
81.19	101
78.23	1484
85.82	649
92.05	151
98.79	1400
97.77	448
94.51	91
93.15	73
95.08	183
88.26	213
80.17	116
94.27	3244
89.66	87
90.55	127
95.81	3052
96.80	438
97.01	402
92.72	261
79.76	84
77.00	1026
81.93	166
97.96	2551
98.77	1384
95.24	252
96.62	2039
75.71	638
97.34	7041
100.00	31
98.08	1773
99.67	304
78.23	1484
85.82	649
77.39	314
84.39	346
88.89	99
93.51	77
83.08	65
81.36	177
79.40	2005
93.14	3075
92.80	1069
91.52	1002
77.21	1088
77.07	1086
84.21	76
97.83	46
97.73	44
96.05	3722
98.46	1758
97.62	1304
96.88	32
96.88	32
98.42	952
98.82	422
95.35	43
95.88	1989
89.83	59
100.00	29
97.37	4532
90.48	42
92.04	113
97.50	40
97.50	40
97.81	4836
95.93	1990
90.85	142
96.47	5837
91.98	686
76.87	415
79.14	163
96.04	4898
83.08	928
93.66	268
91.18	1372
75.68	1723
84.90	298
89.51	162
89.17	120
78.82	203
98.26	5353
98.57	1327
81.82	110
96.97	66
93.02	43
97.73	44
98.01	6626
98.55	4469
97.92	3313
96.79	809
75.38	1251
88.50	965
77.45	2590
92.66	218
74.53	856
75.80	1186
96.88	32
97.64	3388
96.27	1610
98.03	1419
79.70	202
97.66	2780
98.06	2419
98.15	702
98.27	520
95.27	656
92.36	641
97.50	40
100.00	76
95.24	84
87.61	113
96.10	77
96.10	77
88.24	102
93.67	79
91.03	78
91.67	84
88.17	93
93.74	3068
94.23	1351
92.81	598
96.25	2348
95.26	1351
86.32	702
100.00	29
98.69	611
92.19	397
98.21	613
94.66	656
95.44	395
75.28	1246
80.98	694
83.73	252
73.77	1056
94.74	228
89.60	202
96.97	33
94.59	37
97.06	34
96.97	33
97.80	3991
97.04	2296
76.29	582
92.42	66
74.72	1163
74.16	267
98.16	6364
97.67	43
95.35	43
95.35	43
100.00	35
100.00	36
97.14	35
100.00	31
94.44	36
85.62	1731
81.48	432
74.42	770
73.17	917
71.18	1131
90.75	1470
78.91	1048
79.78	371
77.85	763
84.53	472
88.35	6316
85.80	176
97.58	6275
71.00	1307
90.25	318
83.10	988
91.23	57
79.22	664
90.62	64
85.46	227
92.19	128
89.61	77
87.37	95
91.18	68
93.18	44
95.45	110
96.15	104
69.67	689
80.39	102
90.78	488
86.78	174
92.21	154
85.42	96
98.68	5983
99.07	107
81.23	1987
79.57	2105
83.26	1123
79.49	156
97.89	95
79.65	113
96.76	1018
97.10	965
92.94	637
72.70	1055
100.00	101
100.00	58
95.45	88
75.00	420
98.29	3043
98.77	2038
99.22	901
96.97	33
97.06	34
97.06	34
97.06	34
100.00	29
97.06	34
75.00	404
97.82	6059
81.57	293
94.87	78
94.87	78
90.32	124
78.63	1226
75.85	762
97.54	4397
97.05	645
95.42	589
96.27	241
94.29	70
91.04	67
93.94	66
88.16	76
93.88	49
97.14	35
86.15	1220
88.39	775
98.66	3807
97.89	2185
80.10	196
96.63	89
76.91	498
74.59	2660
71.33	422
83.52	352
88.89	90
75.57	573
98.80	3988
96.99	1659
96.23	53
91.49	47
93.82	372
94.35	177
90.28	72
75.83	1030
97.94	3309
91.88	160
81.03	2314
86.48	1265
97.71	1573
99.16	596
98.51	538
98.89	450
97.60	417
93.79	451
98.54	205
97.57	905
98.40	624
97.02	336
97.84	139
75.31	320
86.25	80
95.74	47
81.61	87
72.07	1783
87.61	2211
85.00	340
71.77	457
98.17	5844
97.34	3388
96.21	951
78.06	2284
98.50	2737
98.34	1446
96.84	1486
87.18	78
91.49	47
80.04	3698
81.94	1218
90.00	70
76.27	2482
96.04	4804
93.86	961
100.00	37
95.24	105
97.37	38
97.37	38
82.93	328
79.72	1755
78.22	762
97.66	4396
88.39	775
88.89	315
72.04	744
94.81	366
93.99	366
97.86	374
97.06	374
95.86	145
95.83	144
92.00	50
98.83	5732
100.00	28
92.29	350
98.06	103
92.26	349
93.75	192
97.09	103
87.62	210
87.13	171
84.52	168
87.50	56
86.84	190
86.49	148
94.78	134
84.94	166
85.92	142
95.83	72
88.16	152
91.58	95
96.15	52
93.75	48
93.48	46
76.82	151
86.19	181
97.88	5702
82.61	69
76.19	970
73.52	982
80.87	711
77.44	2150
72.91	454
92.92	2315
95.88	1700
97.27	1651
97.57	3134
96.14	2538
74.84	946
77.25	655
92.75	207
71.54	2319
87.60	258
83.33	252
88.46	52
97.80	4277
97.61	1382
98.80	1662
89.20	1093
75.17	572
96.97	33
88.51	261
98.29	3566
97.86	2105
97.22	36
100.00	33
100.00	33
100.00	32
94.18	3316
84.91	517
100.00	34
93.18	44
93.18	44
83.76	388
86.26	182
98.95	5605
91.55	71
94.74	38
94.12	51
100.00	30
100.00	28
78.13	1619
98.67	2327
97.20	250
98.39	62
85.76	302
93.24	222
93.02	43
98.40	3504
98.76	2015
75.50	955
93.40	106
93.40	106
93.40	106
98.40	5511
75.25	295
74.92	295
80.33	1713
77.04	135
88.36	1134
79.46	1402
72.74	1981
95.35	43
75.85	737
75.40	1638
75.11	944
94.04	2667
87.88	99
76.03	267
79.89	174
87.10	62
95.53	447
93.01	229
92.96	213
93.64	173
94.35	124
98.46	65
95.83	48
84.03	144
100.00	28
89.58	96
100.00	28
89.90	99
82.84	134
88.54	96
100.00	28
83.21	137
96.88	32
81.88	138
96.88	32
86.14	101
86.14	101
94.59	37
94.59	37
85.00	100
96.88	32
80.33	2156
92.68	82
79.08	3580
90.42	334
79.67	123
86.07	876
79.94	339
78.86	1859
97.82	5285
100.00	81
97.20	3819
91.67	72
76.84	1088
83.65	318
79.90	587
87.02	362
87.91	339
86.47	340
85.25	339
86.59	82
93.07	101
88.00	75
78.95	95
78.12	3491
97.95	3214
98.16	2119
81.96	693
76.26	455
97.67	3348
94.34	1220
96.92	260
92.73	110
91.74	109
85.45	110
84.55	110
89.81	108
96.77	62
95.08	61
96.77	62
93.44	61
95.08	61
96.55	58
93.55	62
93.75	48
93.02	43
100.00	78
100.00	77
84.32	1103
96.75	1755
97.64	1566
97.78	765
95.30	511
97.13	244
94.40	232
97.37	76
94.55	55
100.00	89
92.59	54
98.31	5325
74.23	679
81.68	404
86.76	136
97.50	80
90.59	85
90.59	85
100.00	34
97.68	5312
98.03	2992
98.46	1360
98.00	902
78.61	1856
75.01	2025
85.55	768
89.89	277
100.00	29
100.00	29
98.18	1373
97.98	642
98.63	73
74.38	1015
82.64	939
79.60	696
90.43	94
76.26	1226
86.36	88
