ID	HLT_pres	HLT_abs	NORA_pres	NORA_abs	effect_size	pvalue
gene_id_5664	15	1	17	1	-0.03125	1.0
gene_id_5662	16	0	18	0	NA	1.0
gene_id_2817	15	1	18	0	-0.545454545455	0.470588235294
gene_id_21245	15	1	16	2	0.150537634409	1.0
gene_id_52068	6	10	16	2	-0.560606060606	0.00334348954555
gene_id_83669	1	15	10	8	-0.561264822134	0.00307749351131
gene_id_6212	6	10	8	10	-0.0714285714286	0.738453353968
gene_id_29262	3	13	3	15	0.0357142857143	1.0
gene_id_643	4	12	3	15	0.126984126984	0.681464253211
gene_id_29267	14	2	18	0	-0.5625	0.213903743316
gene_id_4646	13	3	15	3	-0.0357142857143	1.0
gene_id_4647	3	13	10	8	-0.388278388278	0.0386484177266
gene_id_78286	12	4	17	1	-0.386206896552	0.1642228739
gene_id_78280	15	1	15	3	0.25	0.604105571848
gene_id_78281	7	9	12	6	-0.231578947368	0.299817833019
gene_id_75908	15	1	16	2	0.150537634409	1.0
gene_id_75909	7	9	10	8	-0.117647058824	0.731857331097
gene_id_4648	2	14	6	12	-0.288461538462	0.232682778845
gene_id_12802	7	9	8	10	-0.00701754385965	1.0
gene_id_90894	8	8	15	3	-0.379446640316	0.0662958843159
gene_id_12806	8	8	11	7	-0.112280701754	0.73028002128
gene_id_12805	9	7	15	3	-0.325	0.134149054505
gene_id_12808	2	14	2	16	0.0333333333333	1.0
gene_id_86443	2	14	3	15	-0.0827586206897	1.0
gene_id_8783	16	0	18	0	NA	1.0
gene_id_39136	4	12	7	11	-0.158102766798	0.476751946607
gene_id_30114	2	14	5	13	-0.232804232804	0.405399939327
gene_id_30115	10	6	12	6	-0.0454545454545	1.0
gene_id_30116	2	14	4	14	-0.166666666667	0.660228536758
gene_id_30117	4	12	8	10	-0.212121212121	0.296648449969
gene_id_30110	6	10	10	8	-0.180555555556	0.326918883512
gene_id_30111	7	9	5	13	0.174242424242	0.475397784978
gene_id_30113	4	12	8	10	-0.212121212121	0.296648449969
gene_id_11636	1	15	1	17	0.03125	1.0
gene_id_30118	5	11	13	5	-0.409722222222	0.0374030148068
gene_id_30119	5	11	13	5	-0.409722222222	0.0374030148068
gene_id_48377	6	10	9	9	-0.126315789474	0.50960003869
gene_id_91184	16	0	18	0	NA	1.0
gene_id_32980	15	1	17	1	-0.03125	1.0
gene_id_32982	10	6	8	10	0.180555555556	0.326918883512
gene_id_86638	10	6	14	4	-0.183333333333	0.456931944585
gene_id_89119	16	0	18	0	NA	1.0
gene_id_89114	15	1	17	1	-0.03125	1.0
gene_id_28200	2	14	5	13	-0.232804232804	0.405399939327
gene_id_89116	8	8	8	10	0.0555555555556	1.0
gene_id_86637	13	3	13	5	0.125	0.693261873462
gene_id_28205	4	12	5	13	-0.0355555555556	1.0
gene_id_26660	14	2	18	0	-0.5625	0.213903743316
gene_id_86632	14	2	12	6	0.288461538462	0.232682778845
gene_id_31141	1	15	1	17	0.03125	1.0
gene_id_88579	11	5	13	5	-0.0416666666667	1.0
gene_id_85858	7	9	7	11	0.05	1.0
gene_id_85678	6	10	3	15	0.266666666667	0.249671352007
gene_id_57786	5	11	15	3	-0.535714285714	0.00446902648383
gene_id_85850	6	10	6	12	0.0454545454545	1.0
gene_id_88573	4	12	7	11	-0.158102766798	0.476751946607
gene_id_85855	2	14	8	10	-0.383333333333	0.0629588431591
gene_id_85670	2	14	3	15	-0.0827586206897	1.0
gene_id_88577	14	2	14	4	0.166666666667	0.660228536758
gene_id_85672	13	3	16	2	-0.151724137931	0.648093841642
gene_id_30238	8	8	12	6	-0.171428571429	0.486714707163
gene_id_24759	11	5	10	8	0.139194139194	0.496522706389
gene_id_24206	15	1	18	0	-0.545454545455	0.470588235294
gene_id_24201	5	11	11	7	-0.298611111111	0.100474550501
gene_id_23520	14	2	15	3	0.0827586206897	1.0
gene_id_23523	14	2	18	0	-0.5625	0.213903743316
gene_id_23522	12	4	9	9	0.263736263736	0.171727039706
gene_id_16443	1	15	0	18	0.545454545455	0.470588235294
gene_id_48600	7	9	7	11	0.05	1.0
gene_id_24209	8	8	12	6	-0.171428571429	0.486714707163
gene_id_24756	6	10	1	17	0.486772486772	0.0348366872282
gene_id_30237	5	11	9	9	-0.192857142857	0.315074720704
gene_id_48604	14	2	16	2	-0.0333333333333	1.0
gene_id_92330	10	6	7	11	0.235294117647	0.302829060852
gene_id_1548	6	10	13	5	-0.350877192982	0.082407183505
gene_id_8550	3	13	0	18	0.58064516129	0.0935828877005
gene_id_37938	13	3	15	3	-0.0357142857143	1.0
gene_id_38741	5	11	12	6	-0.352941176471	0.0844146687268
gene_id_37936	3	13	3	15	0.0357142857143	1.0
gene_id_37935	2	14	2	16	0.0333333333333	1.0
gene_id_37934	2	14	2	16	0.0333333333333	1.0
gene_id_37933	3	13	2	16	0.151724137931	0.648093841642
gene_id_88883	11	5	15	3	-0.201923076923	0.428995179829
gene_id_1544	13	3	12	6	0.186666666667	0.447871372232
gene_id_1545	15	1	12	6	0.412698412698	0.0900495500051
gene_id_4563	6	10	2	16	0.365384615385	0.10998752823
gene_id_53339	2	14	4	14	-0.166666666667	0.660228536758
gene_id_27953	3	13	5	13	-0.125	0.693261873462
gene_id_63129	0	16	1	17	-0.484848484848	1.0
gene_id_59141	0	16	8	10	-0.615384615385	0.00311893389169
gene_id_53335	9	7	16	2	-0.417777777778	0.0522803114572
gene_id_88795	15	1	16	2	0.150537634409	1.0
gene_id_12130	3	13	2	16	0.151724137931	0.648093841642
gene_id_88796	13	3	14	4	0.0529100529101	1.0
gene_id_57430	3	13	4	14	-0.0529100529101	1.0
gene_id_22545	14	2	11	7	0.337777777778	0.125088482152
gene_id_88886	8	8	13	5	-0.234432234432	0.290554722639
gene_id_57438	5	11	10	8	-0.245614035088	0.18539117538
gene_id_63228	1	15	0	18	0.545454545455	0.470588235294
gene_id_12781	12	4	10	8	0.212121212121	0.296648449969
gene_id_7233	12	4	7	11	0.364912280702	0.0454385710371
gene_id_60265	0	16	3	15	-0.516129032258	0.229946524064
gene_id_63229	2	14	0	18	0.5625	0.213903743316
gene_id_35062	10	6	5	13	0.350877192982	0.082407183505
gene_id_30581	11	5	12	6	0.0237154150198	1.0
gene_id_60260	1	15	10	8	-0.561264822134	0.00307749351131
gene_id_25478	1	15	1	17	0.03125	1.0
gene_id_75496	2	14	3	15	-0.0827586206897	1.0
gene_id_35069	1	15	0	18	0.545454545455	0.470588235294
gene_id_35068	2	14	0	18	0.5625	0.213903743316
gene_id_93434	7	9	11	7	-0.173611111111	0.492106238901
gene_id_31406	8	8	13	5	-0.234432234432	0.290554722639
gene_id_26244	8	8	3	15	0.379446640316	0.0662958843159
gene_id_91669	9	7	8	10	0.117647058824	0.731857331097
gene_id_77889	2	14	9	9	-0.426877470356	0.0295884315907
gene_id_14152	7	9	10	8	-0.117647058824	0.731857331097
gene_id_77730	11	5	13	5	-0.0416666666667	1.0
gene_id_14150	5	11	11	7	-0.298611111111	0.100474550501
gene_id_14151	4	12	5	13	-0.0355555555556	1.0
gene_id_14404	16	0	12	6	0.571428571429	0.0197575440329
gene_id_14405	9	7	12	6	-0.10989010989	0.725376021667
gene_id_14154	11	5	14	4	-0.115555555556	0.702699969663
gene_id_14155	12	4	12	6	0.1	0.714591970877
gene_id_30025	3	13	4	14	-0.0529100529101	1.0
gene_id_93437	9	7	14	4	-0.245059288538	0.274304783092
gene_id_17542	4	12	1	17	0.386206896552	0.1642228739
gene_id_63944	1	15	7	11	-0.451923076923	0.0425051403917
gene_id_51040	7	9	12	6	-0.231578947368	0.299817833019
gene_id_52855	0	16	1	17	-0.484848484848	1.0
gene_id_23016	7	9	4	14	0.245059288538	0.274304783092
gene_id_73146	4	12	4	14	0.0384615384615	1.0
gene_id_73144	6	10	10	8	-0.180555555556	0.326918883512
gene_id_76420	8	8	16	2	-0.466666666667	0.022914349277
gene_id_89253	1	15	0	18	0.545454545455	0.470588235294
gene_id_23013	3	13	3	15	0.0357142857143	1.0
gene_id_62350	3	13	10	8	-0.388278388278	0.0386484177266
gene_id_89252	1	15	1	17	0.03125	1.0
gene_id_73863	3	13	6	12	-0.186666666667	0.447871372232
gene_id_35619	3	13	3	15	0.0357142857143	1.0
gene_id_31188	12	4	11	7	0.158102766798	0.476751946607
gene_id_55495	0	16	3	15	-0.516129032258	0.229946524064
gene_id_89250	1	15	2	16	-0.150537634409	1.0
gene_id_55493	0	16	1	17	-0.484848484848	1.0
gene_id_31181	15	1	15	3	0.25	0.604105571848
gene_id_31182	6	10	13	5	-0.350877192982	0.082407183505
gene_id_78875	5	11	13	5	-0.409722222222	0.0374030148068
gene_id_31184	16	0	17	1	0.484848484848	1.0
gene_id_31255	6	10	15	3	-0.483516483516	0.0122422659638
gene_id_87403	2	14	9	9	-0.426877470356	0.0295884315907
gene_id_87405	4	12	9	9	-0.263736263736	0.171727039706
gene_id_39168	12	4	17	1	-0.386206896552	0.1642228739
gene_id_87407	2	14	0	18	0.5625	0.213903743316
gene_id_10097	7	9	9	9	-0.0625	0.744475809633
gene_id_39167	3	13	8	10	-0.292490118577	0.151946607341
gene_id_39164	5	11	9	9	-0.192857142857	0.315074720704
gene_id_10094	10	6	14	4	-0.183333333333	0.456931944585
gene_id_10092	9	7	6	12	0.231578947368	0.299817833019
gene_id_39160	1	15	2	16	-0.150537634409	1.0
gene_id_34917	1	15	1	17	0.03125	1.0
gene_id_60849	4	12	15	3	-0.589473684211	0.00142831809902
gene_id_35617	14	2	14	4	0.166666666667	0.660228536758
gene_id_40289	10	6	14	4	-0.183333333333	0.456931944585
gene_id_67813	4	12	4	14	0.0384615384615	1.0
gene_id_60843	13	3	16	2	-0.151724137931	0.648093841642
gene_id_21805	8	8	13	5	-0.234432234432	0.290554722639
gene_id_21806	8	8	3	15	0.379446640316	0.0662958843159
gene_id_21807	9	7	11	7	-0.05	1.0
gene_id_60847	6	10	13	5	-0.350877192982	0.082407183505
gene_id_21802	5	11	7	11	-0.0833333333333	0.728896841902
gene_id_92515	12	4	10	8	0.212121212121	0.296648449969
gene_id_19065	4	12	1	17	0.386206896552	0.1642228739
gene_id_87538	6	10	11	7	-0.235294117647	0.302829060852
gene_id_80573	1	15	5	13	-0.369047619048	0.18014966124
gene_id_84890	14	2	15	3	0.0827586206897	1.0
gene_id_12131	3	13	2	16	0.151724137931	0.648093841642
gene_id_80578	14	2	13	5	0.232804232804	0.405399939327
gene_id_19068	3	13	3	15	0.0357142857143	1.0
gene_id_38701	2	14	8	10	-0.383333333333	0.0629588431591
gene_id_66637	10	6	13	5	-0.110671936759	0.716573971079
gene_id_63462	8	8	7	11	0.112280701754	0.73028002128
gene_id_80334	3	13	12	6	-0.484210526316	0.0070296230184
gene_id_66632	1	15	6	12	-0.412698412698	0.0900495500051
gene_id_16081	3	13	1	17	0.316666666667	0.322580645161
gene_id_66146	1	15	9	9	-0.525	0.00789766407119
gene_id_91348	14	2	17	1	-0.215053763441	0.590909090909
gene_id_22348	6	10	13	5	-0.350877192982	0.082407183505
gene_id_416	0	16	2	16	-0.5	0.486631016043
gene_id_40007	4	12	6	12	-0.1	0.714591970877
gene_id_78359	4	12	3	15	0.126984126984	0.681464253211
gene_id_40001	14	2	17	1	-0.215053763441	0.590909090909
gene_id_87828	13	3	15	3	-0.0357142857143	1.0
gene_id_40002	0	16	2	16	-0.5	0.486631016043
gene_id_5894	14	2	15	3	0.0827586206897	1.0
gene_id_5895	8	8	12	6	-0.171428571429	0.486714707163
gene_id_91668	4	12	2	16	0.238095238095	0.387197896653
gene_id_5890	12	4	15	3	-0.126984126984	0.681464253211
gene_id_5891	12	4	15	3	-0.126984126984	0.681464253211
gene_id_11054	3	13	5	13	-0.125	0.693261873462
gene_id_16007	15	1	16	2	0.150537634409	1.0
gene_id_2305	1	15	5	13	-0.369047619048	0.18014966124
gene_id_11050	12	4	15	3	-0.126984126984	0.681464253211
gene_id_11051	9	7	14	4	-0.245059288538	0.274304783092
gene_id_11052	3	13	6	12	-0.186666666667	0.447871372232
gene_id_11053	4	12	5	13	-0.0355555555556	1.0
gene_id_50426	9	7	15	3	-0.325	0.134149054505
gene_id_88895	2	14	3	15	-0.0827586206897	1.0
gene_id_12512	1	15	6	12	-0.412698412698	0.0900495500051
gene_id_57897	15	1	16	2	0.150537634409	1.0
gene_id_16008	16	0	18	0	NA	1.0
gene_id_59914	1	15	4	14	-0.31724137931	0.340175953079
gene_id_27327	7	9	5	13	0.174242424242	0.475397784978
gene_id_27326	3	13	5	13	-0.125	0.693261873462
gene_id_27325	5	11	13	5	-0.409722222222	0.0374030148068
gene_id_22204	7	9	9	9	-0.0625	0.744475809633
gene_id_38602	4	12	7	11	-0.158102766798	0.476751946607
gene_id_89447	8	8	15	3	-0.379446640316	0.0662958843159
gene_id_22200	14	2	14	4	0.166666666667	0.660228536758
gene_id_19609	13	3	15	3	-0.0357142857143	1.0
gene_id_19608	14	2	16	2	-0.0333333333333	1.0
gene_id_60508	0	16	3	15	-0.516129032258	0.229946524064
gene_id_70144	10	6	15	3	-0.266666666667	0.249671352007
gene_id_88250	5	11	4	14	0.115555555556	0.702699969663
gene_id_29027	2	14	2	16	0.0333333333333	1.0
gene_id_78772	1	15	3	15	-0.25	0.604105571848
gene_id_13699	7	9	5	13	0.174242424242	0.475397784978
gene_id_53716	10	6	13	5	-0.110671936759	0.716573971079
gene_id_93129	4	12	2	16	0.238095238095	0.387197896653
gene_id_16723	14	2	15	3	0.0827586206897	1.0
gene_id_3337	2	14	8	10	-0.383333333333	0.0629588431591
gene_id_3440	12	4	15	3	-0.126984126984	0.681464253211
gene_id_6123	13	3	15	3	-0.0357142857143	1.0
gene_id_88253	12	4	14	4	-0.0384615384615	1.0
gene_id_3333	2	14	5	13	-0.232804232804	0.405399939327
gene_id_71365	5	11	12	6	-0.352941176471	0.0844146687268
gene_id_3447	4	12	7	11	-0.158102766798	0.476751946607
gene_id_6126	3	13	11	7	-0.435714285714	0.0172720091567
gene_id_78789	7	9	11	7	-0.173611111111	0.492106238901
gene_id_38702	3	13	8	10	-0.292490118577	0.151946607341
gene_id_3339	9	7	11	7	-0.05	1.0
gene_id_3338	2	14	5	13	-0.232804232804	0.405399939327
gene_id_2312	1	15	0	18	0.545454545455	0.470588235294
gene_id_2313	2	14	0	18	0.5625	0.213903743316
gene_id_2310	1	15	1	17	0.03125	1.0
gene_id_21937	11	5	5	13	0.409722222222	0.0374030148068
gene_id_5476	16	0	18	0	NA	1.0
gene_id_88256	5	11	1	17	0.440476190476	0.0782182222672
gene_id_69634	11	5	14	4	-0.115555555556	0.702699969663
gene_id_15045	11	5	17	1	-0.440476190476	0.0782182222672
gene_id_12583	2	14	3	15	-0.0827586206897	1.0
gene_id_69137	0	16	8	10	-0.615384615385	0.00311893389169
gene_id_86577	11	5	12	6	0.0237154150198	1.0
gene_id_21932	3	13	0	18	0.58064516129	0.0935828877005
gene_id_26417	14	2	15	3	0.0827586206897	1.0
gene_id_63337	9	7	15	3	-0.325	0.134149054505
gene_id_37331	2	14	3	15	-0.0827586206897	1.0
gene_id_37330	4	12	3	15	0.126984126984	0.681464253211
gene_id_37337	1	15	1	17	0.03125	1.0
gene_id_37336	4	12	2	16	0.238095238095	0.387197896653
gene_id_4440	1	15	1	17	0.03125	1.0
gene_id_12582	2	14	0	18	0.5625	0.213903743316
gene_id_3513	5	11	11	7	-0.298611111111	0.100474550501
gene_id_53453	8	8	11	7	-0.112280701754	0.73028002128
gene_id_62733	0	16	2	16	-0.5	0.486631016043
gene_id_62732	0	16	1	17	-0.484848484848	1.0
gene_id_62731	0	16	5	13	-0.551724137931	0.0464895635674
gene_id_88891	7	9	7	11	0.05	1.0
gene_id_62737	4	12	11	7	-0.364912280702	0.0454385710371
gene_id_53450	8	8	12	6	-0.171428571429	0.486714707163
gene_id_36326	14	2	18	0	-0.5625	0.213903743316
gene_id_11353	2	14	1	17	0.215053763441	0.590909090909
gene_id_51492	7	9	14	4	-0.358974358974	0.0763714916735
gene_id_62738	11	5	11	7	0.0833333333333	0.728896841902
gene_id_24982	14	2	16	2	-0.0333333333333	1.0
gene_id_35669	6	10	1	17	0.486772486772	0.0348366872282
gene_id_83874	15	1	18	0	-0.545454545455	0.470588235294
gene_id_69397	7	9	9	9	-0.0625	0.744475809633
gene_id_83871	0	16	1	17	-0.484848484848	1.0
gene_id_38052	3	13	8	10	-0.292490118577	0.151946607341
gene_id_4441	1	15	0	18	0.545454545455	0.470588235294
gene_id_60461	7	9	10	8	-0.117647058824	0.731857331097
gene_id_83400	12	4	16	2	-0.238095238095	0.387197896653
gene_id_14829	1	15	6	12	-0.412698412698	0.0900495500051
gene_id_35665	1	15	1	17	0.03125	1.0
gene_id_35667	16	0	18	0	NA	1.0
gene_id_88922	3	13	5	13	-0.125	0.693261873462
gene_id_17665	6	10	8	10	-0.0714285714286	0.738453353968
gene_id_66851	2	14	0	18	0.5625	0.213903743316
gene_id_66857	15	1	11	7	0.451923076923	0.0425051403917
gene_id_78361	14	2	17	1	-0.215053763441	0.590909090909
gene_id_92813	6	10	8	10	-0.0714285714286	0.738453353968
gene_id_78369	3	13	2	16	0.151724137931	0.648093841642
gene_id_83004	8	8	16	2	-0.466666666667	0.022914349277
gene_id_26056	4	12	9	9	-0.263736263736	0.171727039706
gene_id_26057	16	0	17	1	0.484848484848	1.0
gene_id_86135	2	14	6	12	-0.288461538462	0.232682778845
gene_id_26055	3	13	6	12	-0.186666666667	0.447871372232
gene_id_86133	14	2	13	5	0.232804232804	0.405399939327
gene_id_56205	10	6	15	3	-0.266666666667	0.249671352007
gene_id_86131	12	4	13	5	0.0355555555556	1.0
gene_id_86130	9	7	9	9	0.0625	0.744475809633
gene_id_18897	7	9	7	11	0.05	1.0
gene_id_19487	15	1	16	2	0.150537634409	1.0
gene_id_18894	11	5	14	4	-0.115555555556	0.702699969663
gene_id_6788	5	11	6	12	-0.0237154150198	1.0
gene_id_18891	13	3	17	1	-0.316666666667	0.322580645161
gene_id_14823	8	8	9	9	0.0	1.0
gene_id_51277	14	2	18	0	-0.5625	0.213903743316
gene_id_51271	5	11	12	6	-0.352941176471	0.0844146687268
gene_id_51273	0	16	6	12	-0.571428571429	0.0197575440329
gene_id_735	1	15	2	16	-0.150537634409	1.0
gene_id_734	12	4	14	4	-0.0384615384615	1.0
gene_id_736	15	1	16	2	0.150537634409	1.0
gene_id_731	11	5	13	5	-0.0416666666667	1.0
gene_id_730	16	0	18	0	NA	1.0
gene_id_732	6	10	4	14	0.183333333333	0.456931944585
gene_id_22970	5	11	7	11	-0.0833333333333	0.728896841902
gene_id_31150	1	15	0	18	0.545454545455	0.470588235294
gene_id_10829	4	12	4	14	0.0384615384615	1.0
gene_id_3510	4	12	10	8	-0.314285714286	0.0920894391514
gene_id_22974	13	3	13	5	0.125	0.693261873462
gene_id_17068	12	4	16	2	-0.238095238095	0.387197896653
gene_id_4255	2	14	8	10	-0.383333333333	0.0629588431591
gene_id_17066	16	0	18	0	NA	1.0
gene_id_1376	16	0	18	0	NA	1.0
gene_id_1371	10	6	8	10	0.180555555556	0.326918883512
gene_id_4250	15	1	14	4	0.31724137931	0.340175953079
gene_id_17061	3	13	9	9	-0.340909090909	0.079595686028
gene_id_4783	12	4	13	5	0.0355555555556	1.0
gene_id_37741	8	8	8	10	0.0555555555556	1.0
gene_id_38022	4	12	7	11	-0.158102766798	0.476751946607
gene_id_4780	15	1	17	1	-0.03125	1.0
gene_id_37744	0	16	2	16	-0.5	0.486631016043
gene_id_4786	12	4	15	3	-0.126984126984	0.681464253211
gene_id_37746	12	4	10	8	0.212121212121	0.296648449969
gene_id_38027	9	7	16	2	-0.417777777778	0.0522803114572
gene_id_38028	2	14	5	13	-0.232804232804	0.405399939327
gene_id_38029	2	14	2	16	0.0333333333333	1.0
gene_id_4789	13	3	18	0	-0.58064516129	0.0935828877005
gene_id_81074	2	14	2	16	0.0333333333333	1.0
gene_id_43042	2	14	2	16	0.0333333333333	1.0
gene_id_62309	2	14	6	12	-0.288461538462	0.232682778845
gene_id_12657	2	14	8	10	-0.383333333333	0.0629588431591
gene_id_9312	15	1	15	3	0.25	0.604105571848
gene_id_9311	14	2	15	3	0.0827586206897	1.0
gene_id_6870	6	10	1	17	0.486772486772	0.0348366872282
gene_id_12121	11	5	12	6	0.0237154150198	1.0
gene_id_57367	8	8	12	6	-0.171428571429	0.486714707163
gene_id_12123	5	11	10	8	-0.245614035088	0.18539117538
gene_id_6874	4	12	4	14	0.0384615384615	1.0
gene_id_9319	12	4	7	11	0.364912280702	0.0454385710371
gene_id_63597	1	15	4	14	-0.31724137931	0.340175953079
gene_id_12129	6	10	15	3	-0.483516483516	0.0122422659638
gene_id_60368	5	11	9	9	-0.192857142857	0.315074720704
gene_id_59909	1	15	2	16	-0.150537634409	1.0
gene_id_21236	3	13	2	16	0.151724137931	0.648093841642
gene_id_35210	7	9	4	14	0.245059288538	0.274304783092
gene_id_2179	14	2	17	1	-0.215053763441	0.590909090909
gene_id_68674	3	13	4	14	-0.0529100529101	1.0
gene_id_2174	11	5	12	6	0.0237154150198	1.0
gene_id_74265	0	16	3	15	-0.516129032258	0.229946524064
gene_id_68670	12	4	14	4	-0.0384615384615	1.0
gene_id_74263	1	15	1	17	0.03125	1.0
gene_id_1159	16	0	14	4	0.533333333333	0.10522684147
gene_id_4438	3	13	8	10	-0.292490118577	0.151946607341
gene_id_78949	5	11	11	7	-0.298611111111	0.100474550501
gene_id_78948	9	7	13	5	-0.174242424242	0.475397784978
gene_id_7883	2	14	1	17	0.215053763441	0.590909090909
gene_id_87428	1	15	6	12	-0.412698412698	0.0900495500051
gene_id_4431	5	11	7	11	-0.0833333333333	0.728896841902
gene_id_78942	0	16	1	17	-0.484848484848	1.0
gene_id_78940	2	14	8	10	-0.383333333333	0.0629588431591
gene_id_78947	9	7	13	5	-0.174242424242	0.475397784978
gene_id_4434	2	14	5	13	-0.232804232804	0.405399939327
gene_id_78945	6	10	11	7	-0.235294117647	0.302829060852
gene_id_7127	15	1	18	0	-0.545454545455	0.470588235294
gene_id_73527	1	15	2	16	-0.150537634409	1.0
gene_id_86799	3	13	5	13	-0.125	0.693261873462
gene_id_86798	7	9	10	8	-0.117647058824	0.731857331097
